date,opposition,shirt,player,started,minutes
01/02/2019,Wales,16,Julien Marchand,n,22
01/02/2019,Wales,4,Sebastien Vahaamahina,y,80
01/02/2019,Wales,13,Romain Ntamack,y,80
01/02/2019,Wales,22,Gael Fickou,n,17
01/02/2019,Wales,18,Demba Bamba,n,32
01/02/2019,Wales,21,Baptiste Serin,n,22
01/02/2019,Wales,9,Morgan Parra,y,58
01/02/2019,Wales,12,Wesley Fofana,y,67
01/02/2019,Wales,10,Camille Lopez,y,80
01/02/2019,Wales,2,Guilhem Guirado,y,58
01/02/2019,Wales,8,Louis Picamoles,y,71
01/02/2019,Wales,3,Uini Atonio,y,48
01/02/2019,Wales,11,Yoann Huget,y,80
01/02/2019,Wales,20,Gregory Alldritt,n,9
01/02/2019,Wales,7,Arthur Iturria,y,80
01/02/2019,Wales,6,Wenceslas Lauret,y,80
01/02/2019,Wales,19,Felix Lambey,n,22
01/02/2019,Wales,1,Jefferson Poirot,y,61
01/02/2019,Wales,17,Dany Priso,n,19
01/02/2019,Wales,5,Paul Willemse,y,58
01/02/2019,Wales,15,Maxime Medard,y,80
10/02/2019,England,14,Damian Penaud,y,70
10/02/2019,England,13,Geoffrey Doumayrou,y,80
10/02/2019,England,5,Sebastien Vahaamahina,y,57
10/02/2019,England,22,Romain Ntamack,n,33
10/02/2019,England,21,Antoine Dupont,n,33
10/02/2019,England,11,Gael Fickou,y,80
10/02/2019,England,3,Demba Bamba,y,57
10/02/2019,England,18,Dorian Aldegheri,n,23
10/02/2019,England,9,Morgan Parra,y,47
10/02/2019,England,10,Camille Lopez,y,57
10/02/2019,England,2,Guilhem Guirado,y,76
10/02/2019,England,8,Louis Picamoles,y,80
10/02/2019,England,12,Mathieu Bastareaud,y,80
10/02/2019,England,16,Pierre Bourgarit,n,4
10/02/2019,England,15,Yoann Huget,y,40
10/02/2019,England,20,Gregory Alldritt,n,10
10/02/2019,England,7,Arthur Iturria,y,80
10/02/2019,England,23,Thomas Ramos,n,40
10/02/2019,England,6,Yacouba Camara,y,80
10/02/2019,England,4,Felix Lambey,y,70
10/02/2019,England,1,Jefferson Poirot,y,75
10/02/2019,England,17,Dany Priso,n,5
10/02/2019,England,19,Paul Willemse,n,23
23/02/2019,Scotland,14,Damian Penaud,y,80
23/02/2019,Scotland,16,Camille Chat,n,10
23/02/2019,Scotland,17,Etienne Falgoux,n,10
23/02/2019,Scotland,4,Sebastien Vahaamahina,y,80
23/02/2019,Scotland,10,Romain Ntamack,y,76
23/02/2019,Scotland,9,Antoine Dupont,y,69
23/02/2019,Scotland,12,Gael Fickou,y,80
23/02/2019,Scotland,3,Demba Bamba,y,69
23/02/2019,Scotland,18,Dorian Aldegheri,n,11
23/02/2019,Scotland,21,Baptiste Serin,n,11
23/02/2019,Scotland,2,Guilhem Guirado,y,70
23/02/2019,Scotland,22,Anthony Belleau,n,4
23/02/2019,Scotland,8,Louis Picamoles,y,69
23/02/2019,Scotland,13,Mathieu Bastareaud,y,80
23/02/2019,Scotland,11,Yoann Huget,y,80
23/02/2019,Scotland,20,Gregory Alldritt,n,11
23/02/2019,Scotland,7,Arthur Iturria,y,80
23/02/2019,Scotland,15,Thomas Ramos,y,70
23/02/2019,Scotland,6,Wenceslas Lauret,y,80
23/02/2019,Scotland,5,Felix Lambey,y,68
23/02/2019,Scotland,1,Jefferson Poirot,y,70
23/02/2019,Scotland,19,Paul Willemse,n,12
23/02/2019,Scotland,23,Maxime Medard,n,10
10/03/2019,Ireland,14,Damian Penaud,y,80
10/03/2019,Ireland,16,Camille Chat,n,8
10/03/2019,Ireland,17,Etienne Falgoux,n,63
10/03/2019,Ireland,4,Sebastien Vahaamahina,y,80
10/03/2019,Ireland,10,Romain Ntamack,y,76
10/03/2019,Ireland,9,Antoine Dupont,y,72
10/03/2019,Ireland,12,Gael Fickou,y,80
10/03/2019,Ireland,3,Demba Bamba,y,55
10/03/2019,Ireland,18,Dorian Aldegheri,n,25
10/03/2019,Ireland,21,Baptiste Serin,n,8
10/03/2019,Ireland,2,Guilhem Guirado,y,72
10/03/2019,Ireland,22,Anthony Belleau,n,4
10/03/2019,Ireland,8,Louis Picamoles,y,80
10/03/2019,Ireland,13,Mathieu Bastareaud,y,80
10/03/2019,Ireland,11,Yoann Huget,y,80
10/03/2019,Ireland,20,Gregory Alldritt,n,69
10/03/2019,Ireland,7,Arthur Iturria,y,80
10/03/2019,Ireland,15,Thomas Ramos,y,63
10/03/2019,Ireland,6,Wenceslas Lauret,y,11
10/03/2019,Ireland,5,Felix Lambey,y,63
10/03/2019,Ireland,1,Jefferson Poirot,y,17
10/03/2019,Ireland,19,Paul Willemse,n,17
10/03/2019,Ireland,23,Maxime Medard,n,17
16/03/2019,Italy,14,Damian Penaud,y,80
16/03/2019,Italy,16,Camille Chat,n,62
16/03/2019,Italy,1,Etienne Falgoux,y,65
16/03/2019,Italy,12,Geoffrey Doumayrou,y,80
16/03/2019,Italy,10,Romain Ntamack,y,80
16/03/2019,Italy,9,Antoine Dupont,y,57
16/03/2019,Italy,3,Demba Bamba,y,80
16/03/2019,Italy,18,Dorian Aldegheri,n,5
16/03/2019,Italy,21,Baptiste Serin,n,23
16/03/2019,Italy,19,Paul Gabrillagues,n,20
16/03/2019,Italy,22,Camille Lopez,n,0
16/03/2019,Italy,2,Guilhem Guirado,y,18
16/03/2019,Italy,8,Louis Picamoles,y,80
16/03/2019,Italy,13,Mathieu Bastareaud,y,80
16/03/2019,Italy,11,Yoann Huget,y,68
16/03/2019,Italy,6,Gregory Alldritt,y,58
16/03/2019,Italy,20,Arthur Iturria,n,22
16/03/2019,Italy,23,Thomas Ramos,n,12
16/03/2019,Italy,7,Yacouba Camara,y,75
16/03/2019,Italy,4,Felix Lambey,y,80
16/03/2019,Italy,17,Dany Priso,n,15
16/03/2019,Italy,5,Paul Willemse,y,60
16/03/2019,Italy,15,Maxime Medard,y,80
17/08/2019,Scotland,14,Damian Penaud,y,65
17/08/2019,Scotland,16,Peato Mauvaka,n,24
17/08/2019,Scotland,2,Camille Chat,y,56
17/08/2019,Scotland,6,Francois Cros,y,80
17/08/2019,Scotland,5,Sebastien Vahaamahina,y,80
17/08/2019,Scotland,22,Romain Ntamack,n,13
17/08/2019,Scotland,9,Antoine Dupont,y,65
17/08/2019,Scotland,13,Gael Fickou,y,80
17/08/2019,Scotland,21,Baptiste Serin,n,15
17/08/2019,Scotland,4,Paul Gabrillagues,y,71
17/08/2019,Scotland,12,Wesley Fofana,y,67
17/08/2019,Scotland,10,Camille Lopez,y,80
17/08/2019,Scotland,3,Rabah Slimani,y,56
17/08/2019,Scotland,20,Louis Picamoles,n,22
17/08/2019,Scotland,18,Emerick Setiano,n,24
17/08/2019,Scotland,8,Gregory Alldritt,y,58
17/08/2019,Scotland,23,Thomas Ramos,n,15
17/08/2019,Scotland,11,Alivereti Raka,y,80
17/08/2019,Scotland,19,Felix Lambey,n,9
17/08/2019,Scotland,1,Jefferson Poirot,y,56
17/08/2019,Scotland,7,Charles Ollivon,y,80
17/08/2019,Scotland,17,Dany Priso,n,24
17/08/2019,Scotland,15,Maxime Medard,y,80
24/08/2019,Scotland,14,Damian Penaud,y,80
24/08/2019,Scotland,16,Camille Chat,n,29
24/08/2019,Scotland,5,Sebastien Vahaamahina,y,52
24/08/2019,Scotland,22,Romain Ntamack,n,42
24/08/2019,Scotland,9,Antoine Dupont,y,63
24/08/2019,Scotland,12,Gael Fickou,y,80
24/08/2019,Scotland,21,Baptiste Serin,n,17
24/08/2019,Scotland,10,Camille Lopez,y,38
24/08/2019,Scotland,2,Guilhem Guirado,y,51
24/08/2019,Scotland,3,Rabah Slimani,y,63
24/08/2019,Scotland,18,Emerick Setiano,n,17
24/08/2019,Scotland,8,Gregory Alldritt,y,75
24/08/2019,Scotland,6,Arthur Iturria,y,80
24/08/2019,Scotland,15,Thomas Ramos,y,65
24/08/2019,Scotland,17,Cyril Baille,n,29
24/08/2019,Scotland,11,Alivereti Raka,y,80
24/08/2019,Scotland,20,Yacouba Camara,n,5
24/08/2019,Scotland,4,Felix Lambey,y,80
24/08/2019,Scotland,13,Sofiane Guitoune,y,80
24/08/2019,Scotland,19,Romain Taofifenua,n,28
24/08/2019,Scotland,1,Jefferson Poirot,y,51
24/08/2019,Scotland,7,Charles Ollivon,y,80
24/08/2019,Scotland,23,Maxime Medard,n,15
30/08/2019,Italy,2,Camille Chat,y,52
30/08/2019,Italy,20,Francois Cros,n,18
30/08/2019,Italy,10,Romain Ntamack,y,80
30/08/2019,Italy,9,Antoine Dupont,y,57
30/08/2019,Italy,11,Gael Fickou,y,80
30/08/2019,Italy,21,Baptiste Serin,n,23
30/08/2019,Italy,12,Wesley Fofana,y,69
30/08/2019,Italy,16,Guilhem Guirado,n,28
30/08/2019,Italy,3,Rabah Slimani,y,52
30/08/2019,Italy,8,Louis Picamoles,y,80
30/08/2019,Italy,18,Emerick Setiano,n,28
30/08/2019,Italy,14,Yoann Huget,y,80
30/08/2019,Italy,4,Arthur Iturria,y,55
30/08/2019,Italy,23,Thomas Ramos,n,11
30/08/2019,Italy,17,Cyril Baille,n,28
30/08/2019,Italy,6,Wenceslas Lauret,y,62
30/08/2019,Italy,7,Yacouba Camara,y,80
30/08/2019,Italy,19,Felix Lambey,n,25
30/08/2019,Italy,13,Sofiane Guitoune,y,57
30/08/2019,Italy,5,Romain Taofifenua,y,80
30/08/2019,Italy,1,Jefferson Poirot,y,52
30/08/2019,Italy,22,Virimi Vakatawa,n,23
30/08/2019,Italy,15,Maxime Medard,y,80
21/09/2019,Argentina,14,Damian Penaud,y,80
21/09/2019,Argentina,16,Camille Chat,n,0
21/09/2019,Argentina,5,Sebastien Vahaamahina,y,80
21/09/2019,Argentina,10,Romain Ntamack,y,80
21/09/2019,Argentina,9,Antoine Dupont,y,80
21/09/2019,Argentina,12,Gael Fickou,y,80
21/09/2019,Argentina,19,Bernard Le Roux,n,0
21/09/2019,Argentina,18,Demba Bamba,n,0
21/09/2019,Argentina,22,Camille Lopez,n,0
21/09/2019,Argentina,2,Guilhem Guirado,y,80
21/09/2019,Argentina,3,Rabah Slimani,y,80
21/09/2019,Argentina,20,Louis Picamoles,n,0
21/09/2019,Argentina,11,Yoann Huget,y,80
21/09/2019,Argentina,8,Gregory Alldritt,y,80
21/09/2019,Argentina,4,Arthur Iturria,y,80
21/09/2019,Argentina,23,Thomas Ramos,n,0
21/09/2019,Argentina,17,Cyril Baille,n,0
21/09/2019,Argentina,6,Wenceslas Lauret,y,80
21/09/2019,Argentina,21,Maxime Machenaud,n,0
21/09/2019,Argentina,1,Jefferson Poirot,y,80
21/09/2019,Argentina,13,Virimi Vakatawa,y,80
21/09/2019,Argentina,7,Charles Ollivon,y,80
21/09/2019,Argentina,15,Maxime Medard,y,80
02/10/2019,USA,2,Camille Chat,y,80
02/10/2019,USA,19,Sebastien Vahaamahina,n,23
02/10/2019,USA,22,Romain Ntamack,n,0
02/10/2019,USA,12,Gael Fickou,y,80
02/10/2019,USA,4,Bernard Le Roux,y,80
02/10/2019,USA,21,Baptiste Serin,n,0
02/10/2019,USA,5,Paul Gabrillagues,y,57
02/10/2019,USA,10,Camille Lopez,y,80
02/10/2019,USA,16,Guilhem Guirado,n,0
02/10/2019,USA,18,Rabah Slimani,n,0
02/10/2019,USA,8,Louis Picamoles,y,80
02/10/2019,USA,3,Emerick Setiano,y,80
02/10/2019,USA,11,Yoann Huget,y,80
02/10/2019,USA,20,Gregory Alldritt,n,0
02/10/2019,USA,6,Arthur Iturria,y,80
02/10/2019,USA,15,Thomas Ramos,y,80
02/10/2019,USA,1,Cyril Baille,y,80
02/10/2019,USA,14,Alivereti Raka,y,80
02/10/2019,USA,7,Yacouba Camara,y,80
02/10/2019,USA,13,Sofiane Guitoune,y,80
02/10/2019,USA,9,Maxime Machenaud,y,80
02/10/2019,USA,17,Jefferson Poirot,n,0
02/10/2019,USA,23,Maxime Medard,n,0
06/10/2019,Tonga,8,Gregory Alldritt,y,80
06/10/2019,Tonga,17,Cyril Baille,n,0
06/10/2019,Tonga,11,Alivereti Raka,y,80
06/10/2019,Tonga,6,Wenceslas Lauret,y,80
06/10/2019,Tonga,20,Yacouba Camara,n,0
06/10/2019,Tonga,12,Sofiane Guitoune,y,80
06/10/2019,Tonga,1,Jefferson Poirot,y,80
06/10/2019,Tonga,13,Virimi Vakatawa,y,80
06/10/2019,Tonga,7,Charles Ollivon,y,80
06/10/2019,Tonga,15,Maxime Medard,y,80
06/10/2019,Tonga,14,Damian Penaud,y,80
06/10/2019,Tonga,2,Camille Chat,y,80
06/10/2019,Tonga,5,Sebastien Vahaamahina,y,80
06/10/2019,Tonga,10,Romain Ntamack,y,80
06/10/2019,Tonga,21,Antoine Dupont,n,0
06/10/2019,Tonga,19,Bernard Le Roux,n,0
06/10/2019,Tonga,23,Pierre-Louis Barassi,n,0
06/10/2019,Tonga,9,Baptiste Serin,y,80
06/10/2019,Tonga,4,Paul Gabrillagues,y,80
06/10/2019,Tonga,22,Camille Lopez,n,0
06/10/2019,Tonga,16,Guilhem Guirado,n,0
06/10/2019,Tonga,3,Rabah Slimani,y,80
06/10/2019,Tonga,18,Emerick Setiano,n,0
20/10/2019,Wales,14,Damian Penaud,y,80
20/10/2019,Wales,16,Camille Chat,n,0
20/10/2019,Wales,5,Sebastien Vahaamahina,y,80
20/10/2019,Wales,10,Romain Ntamack,y,80
20/10/2019,Wales,9,Antoine Dupont,y,80
20/10/2019,Wales,23,Vincent Rattez,n,0
20/10/2019,Wales,12,Gael Fickou,y,80
20/10/2019,Wales,4,Bernard Le Roux,y,80
20/10/2019,Wales,21,Baptiste Serin,n,0
20/10/2019,Wales,19,Paul Gabrillagues,n,0
20/10/2019,Wales,22,Camille Lopez,n,0
20/10/2019,Wales,2,Guilhem Guirado,y,80
20/10/2019,Wales,3,Rabah Slimani,y,80
20/10/2019,Wales,20,Louis Picamoles,n,0
20/10/2019,Wales,18,Emerick Setiano,n,0
20/10/2019,Wales,11,Yoann Huget,y,80
20/10/2019,Wales,8,Gregory Alldritt,y,80
20/10/2019,Wales,17,Cyril Baille,n,0
20/10/2019,Wales,6,Wenceslas Lauret,y,80
20/10/2019,Wales,1,Jefferson Poirot,y,80
20/10/2019,Wales,13,Virimi Vakatawa,y,80
20/10/2019,Wales,7,Charles Ollivon,y,80
20/10/2019,Wales,15,Maxime Medard,y,80
02/02/2020,England,19,Boris Palu,n,23
02/02/2020,England,16,Peato Mauvaka,n,12
02/02/2020,England,6,Francois Cros,y,56
02/02/2020,England,14,Teddy Thomas,y,80
02/02/2020,England,2,Julien Marchand,y,68
02/02/2020,England,10,Romain Ntamack,y,76
02/02/2020,England,9,Antoine Dupont,y,80
02/02/2020,England,22,Matthieu Jalibert,n,4
02/02/2020,England,11,Vincent Rattez,y,80
02/02/2020,England,12,Gael Fickou,y,80
02/02/2020,England,4,Bernard Le Roux,y,80
02/02/2020,England,18,Demba Bamba,n,31
02/02/2020,England,23,Arthur Vincent,n,0
02/02/2020,England,21,Baptiste Serin,n,0
02/02/2020,England,15,Anthony Bouthier,y,80
02/02/2020,England,20,Cameron Woki,n,24
02/02/2020,England,8,Gregory Alldritt,y,80
02/02/2020,England,1,Cyril Baille,y,49
02/02/2020,England,17,Jefferson Poirot,n,31
02/02/2020,England,13,Virimi Vakatawa,y,80
02/02/2020,England,3,Mohamed Haouas,y,49
02/02/2020,England,7,Charles Ollivon,y,80
02/02/2020,England,5,Paul Willemse,y,57
09/02/2020,Italy,20,Boris Palu,n,9
09/02/2020,Italy,16,Peato Mauvaka,n,18
09/02/2020,Italy,6,Francois Cros,y,61
09/02/2020,Italy,14,Teddy Thomas,y,80
09/02/2020,Italy,2,Julien Marchand,y,62
09/02/2020,Italy,10,Romain Ntamack,y,71
09/02/2020,Italy,9,Antoine Dupont,y,72
09/02/2020,Italy,23,Matthieu Jalibert,n,9
09/02/2020,Italy,11,Vincent Rattez,y,80
09/02/2020,Italy,12,Gael Fickou,y,80
09/02/2020,Italy,4,Bernard Le Roux,y,71
09/02/2020,Italy,18,Demba Bamba,n,19
09/02/2020,Italy,13,Arthur Vincent,y,80
09/02/2020,Italy,22,Baptiste Serin,n,8
09/02/2020,Italy,15,Anthony Bouthier,y,80
09/02/2020,Italy,21,Cameron Woki,n,19
09/02/2020,Italy,8,Gregory Alldritt,y,80
09/02/2020,Italy,1,Cyril Baille,y,61
09/02/2020,Italy,19,Romain Taofifenua,n,37
09/02/2020,Italy,17,Jefferson Poirot,n,19
09/02/2020,Italy,3,Mohamed Haouas,y,61
09/02/2020,Italy,7,Charles Ollivon,y,80
09/02/2020,Italy,5,Paul Willemse,y,43
22/02/2020,Wales,16,Camille Chat,n,23
22/02/2020,Wales,6,Francois Cros,y,69
22/02/2020,Wales,14,Teddy Thomas,y,66
22/02/2020,Wales,2,Julien Marchand,y,57
22/02/2020,Wales,17,Jean-Baptiste Gros,n,40
22/02/2020,Wales,10,Romain Ntamack,y,75
22/02/2020,Wales,9,Antoine Dupont,y,75
22/02/2020,Wales,22,Matthieu Jalibert,n,14
22/02/2020,Wales,11,Gael Fickou,y,80
22/02/2020,Wales,4,Bernard Le Roux,y,69
22/02/2020,Wales,18,Demba Bamba,n,11
22/02/2020,Wales,12,Arthur Vincent,y,80
22/02/2020,Wales,21,Baptiste Serin,n,5
22/02/2020,Wales,15,Anthony Bouthier,y,80
22/02/2020,Wales,8,Gregory Alldritt,y,80
22/02/2020,Wales,23,Thomas Ramos,n,5
22/02/2020,Wales,1,Cyril Baille,y,40
22/02/2020,Wales,19,Romain Taofifenua,n,11
22/02/2020,Wales,20,Dylan Cretin,n,1
22/02/2020,Wales,13,Virimi Vakatawa,y,80
22/02/2020,Wales,3,Mohamed Haouas,y,79
22/02/2020,Wales,7,Charles Ollivon,y,80
22/02/2020,Wales,5,Paul Willemse,y,80
08/03/2020,Scotland,14,Damian Penaud,y,65
08/03/2020,Scotland,16,Peato Mauvaka,n,15
08/03/2020,Scotland,6,Francois Cros,y,48
08/03/2020,Scotland,2,Julien Marchand,y,65
08/03/2020,Scotland,17,Jean-Baptiste Gros,n,30
08/03/2020,Scotland,10,Romain Ntamack,y,8
08/03/2020,Scotland,9,Antoine Dupont,y,78
08/03/2020,Scotland,22,Matthieu Jalibert,n,72
08/03/2020,Scotland,11,Gael Fickou,y,80
08/03/2020,Scotland,4,Bernard Le Roux,y,80
08/03/2020,Scotland,18,Demba Bamba,n,32
08/03/2020,Scotland,12,Arthur Vincent,y,80
08/03/2020,Scotland,21,Baptiste Serin,n,2
08/03/2020,Scotland,15,Anthony Bouthier,y,71
08/03/2020,Scotland,8,Gregory Alldritt,y,80
08/03/2020,Scotland,23,Thomas Ramos,n,9
08/03/2020,Scotland,19,Romain Taofifenua,n,32
08/03/2020,Scotland,20,Dylan Cretin,n,15
08/03/2020,Scotland,1,Jefferson Poirot,y,50
08/03/2020,Scotland,13,Virimi Vakatawa,y,80
08/03/2020,Scotland,3,Mohamed Haouas,y,80
08/03/2020,Scotland,7,Charles Ollivon,y,80
08/03/2020,Scotland,5,Paul Willemse,y,48
24/10/2020,Wales,15,Anthony Bouthier,y,40
24/10/2020,Wales,8,Gregory Alldritt,y,75
24/10/2020,Wales,23,Thomas Ramos,n,40
24/10/2020,Wales,1,Cyril Baille,y,57
24/10/2020,Wales,19,Romain Taofifenua,n,23
24/10/2020,Wales,20,Dylan Cretin,n,5
24/10/2020,Wales,13,Virimi Vakatawa,y,71
24/10/2020,Wales,3,Mohamed Haouas,y,57
24/10/2020,Wales,7,Charles Ollivon,y,80
24/10/2020,Wales,5,Paul Willemse,y,57
24/10/2020,Wales,16,Camille Chat,n,23
24/10/2020,Wales,6,Francois Cros,y,80
24/10/2020,Wales,14,Teddy Thomas,y,80
24/10/2020,Wales,2,Julien Marchand,y,57
24/10/2020,Wales,17,Jean-Baptiste Gros,n,23
24/10/2020,Wales,10,Romain Ntamack,y,80
24/10/2020,Wales,9,Antoine Dupont,y,70
24/10/2020,Wales,11,Vincent Rattez,y,80
24/10/2020,Wales,12,Gael Fickou,y,80
24/10/2020,Wales,4,Bernard Le Roux,y,80
24/10/2020,Wales,18,Demba Bamba,n,23
24/10/2020,Wales,22,Arthur Vincent,n,9
24/10/2020,Wales,21,Baptiste Serin,n,10
31/10/2020,Ireland,16,Camille Chat,n,24
31/10/2020,Ireland,6,Francois Cros,y,33
31/10/2020,Ireland,2,Julien Marchand,y,56
31/10/2020,Ireland,17,Jean-Baptiste Gros,n,23
31/10/2020,Ireland,10,Romain Ntamack,y,80
31/10/2020,Ireland,9,Antoine Dupont,y,77
31/10/2020,Ireland,14,Vincent Rattez,y,80
31/10/2020,Ireland,11,Gael Fickou,y,80
31/10/2020,Ireland,4,Bernard Le Roux,y,80
31/10/2020,Ireland,18,Demba Bamba,n,24
31/10/2020,Ireland,12,Arthur Vincent,y,80
31/10/2020,Ireland,21,Baptiste Serin,n,3
31/10/2020,Ireland,15,Anthony Bouthier,y,73
31/10/2020,Ireland,8,Gregory Alldritt,y,80
31/10/2020,Ireland,23,Thomas Ramos,n,7
31/10/2020,Ireland,1,Cyril Baille,y,57
31/10/2020,Ireland,19,Romain Taofifenua,n,7
31/10/2020,Ireland,20,Dylan Cretin,n,47
31/10/2020,Ireland,13,Virimi Vakatawa,y,73
31/10/2020,Ireland,3,Mohamed Haouas,y,56
31/10/2020,Ireland,7,Charles Ollivon,y,80
31/10/2020,Ireland,22,Arthur Retiere,n,7
31/10/2020,Ireland,5,Paul Willemse,y,73
22/11/2020,Scotland,2,Camille Chat,y,54
22/11/2020,Scotland,14,Teddy Thomas,y,80
22/11/2020,Scotland,16,Julien Marchand,n,26
22/11/2020,Scotland,1,Jean-Baptiste Gros,y,54
22/11/2020,Scotland,9,Antoine Dupont,y,80
22/11/2020,Scotland,10,Matthieu Jalibert,y,80
22/11/2020,Scotland,11,Vincent Rattez,y,70
22/11/2020,Scotland,21,Baptiste Couilloud,n,0
22/11/2020,Scotland,12,Gael Fickou,y,80
22/11/2020,Scotland,4,Bernard Le Roux,y,80
22/11/2020,Scotland,3,Demba Bamba,y,56
22/11/2020,Scotland,23,Arthur Vincent,n,10
22/11/2020,Scotland,20,Cameron Woki,n,0
22/11/2020,Scotland,8,Gregory Alldritt,y,80
22/11/2020,Scotland,15,Thomas Ramos,y,80
22/11/2020,Scotland,22,Louis Carbonel,n,0
22/11/2020,Scotland,17,Cyril Baille,n,26
22/11/2020,Scotland,5,Romain Taofifenua,y,63
22/11/2020,Scotland,6,Dylan Cretin,y,80
22/11/2020,Scotland,13,Virimi Vakatawa,y,80
22/11/2020,Scotland,18,Mohamed Haouas,n,24
22/11/2020,Scotland,7,Charles Ollivon,y,80
22/11/2020,Scotland,19,Paul Willemse,n,17
28/11/2020,Italy,4,Killian Geraci,y,59
28/11/2020,Italy,2,Peato Mauvaka,y,52
28/11/2020,Italy,23,Yoram Moefana,n,11
28/11/2020,Italy,16,Teddy Baubigny,n,28
28/11/2020,Italy,11,Gabin Villiere,y,80
28/11/2020,Italy,14,Teddy Thomas,y,80
28/11/2020,Italy,7,Sekou Macalou,y,80
28/11/2020,Italy,10,Matthieu Jalibert,y,70
28/11/2020,Italy,21,Baptiste Couilloud,n,10
28/11/2020,Italy,1,Rodrigue Neti,y,52
28/11/2020,Italy,19,Cyril Cazeaux,n,21
28/11/2020,Italy,17,Hassane Kolingar,n,28
28/11/2020,Italy,3,Dorian Aldegheri,y,52
28/11/2020,Italy,9,Baptiste Serin,y,70
28/11/2020,Italy,15,Brice Dulin,y,80
28/11/2020,Italy,8,Anthony Jelonch,y,80
28/11/2020,Italy,18,Uini Atonio,n,28
28/11/2020,Italy,5,Baptiste Pesenti-Compagnoni,y,75
28/11/2020,Italy,6,Cameron Woki,y,80
28/11/2020,Italy,22,Louis Carbonel,n,10
28/11/2020,Italy,13,Jean Pascal Barraque,y,69
28/11/2020,Italy,12,Jonathan Danty,y,80
28/11/2020,Italy,20,Swan Rebbadj,n,5
06/12/2020,England,4,Killian Geraci,y,80
06/12/2020,England,16,Peato Mauvaka,n,27
06/12/2020,England,13,Yoram Moefana,y,80
06/12/2020,England,11,Gabin Villiere,y,80
06/12/2020,England,20,Sekou Macalou,n,24
06/12/2020,England,10,Matthieu Jalibert,y,62
06/12/2020,England,9,Baptiste Couilloud,y,80
06/12/2020,England,17,Rodrigue Neti,n,28
06/12/2020,England,23,Pierre-Louis Barassi,n,32
06/12/2020,England,1,Hassane Kolingar,y,52
06/12/2020,England,3,Dorian Aldegheri,y,40
06/12/2020,England,15,Brice Dulin,y,80
06/12/2020,England,8,Selevasio Tolofua,y,80
06/12/2020,England,7,Anthony Jelonch,y,80
06/12/2020,England,2,Pierre Bourgarit,y,53
06/12/2020,England,21,Sebastien Bezy,n,0
06/12/2020,England,18,Uini Atonio,n,40
06/12/2020,England,5,Baptiste Pesenti-Compagnoni,y,56
06/12/2020,England,6,Cameron Woki,y,56
06/12/2020,England,22,Louis Carbonel,n,18
06/12/2020,England,14,Alivereti Raka,y,80
06/12/2020,England,19,Guillaume Ducat,n,24
06/12/2020,England,12,Jonathan Danty,y,48
06/02/2021,Italy,23,Damian Penaud,n,20
06/02/2021,Italy,11,Gabin Villiere,y,80
06/02/2021,Italy,14,Teddy Thomas,y,80
06/02/2021,Italy,2,Julien Marchand,y,45
06/02/2021,Italy,17,Jean-Baptiste Gros,n,28
06/02/2021,Italy,9,Antoine Dupont,y,59
06/02/2021,Italy,10,Matthieu Jalibert,y,60
06/02/2021,Italy,12,Gael Fickou,y,60
06/02/2021,Italy,4,Bernard Le Roux,y,80
06/02/2021,Italy,13,Arthur Vincent,y,80
06/02/2021,Italy,18,Dorian Aldegheri,n,28
06/02/2021,Italy,21,Baptiste Serin,n,21
06/02/2021,Italy,15,Brice Dulin,y,80
06/02/2021,Italy,20,Anthony Jelonch,n,22
06/02/2021,Italy,16,Pierre Bourgarit,n,35
06/02/2021,Italy,8,Gregory Alldritt,y,58
06/02/2021,Italy,22,Louis Carbonel,n,20
06/02/2021,Italy,1,Cyril Baille,y,52
06/02/2021,Italy,19,Romain Taofifenua,n,22
06/02/2021,Italy,6,Dylan Cretin,y,80
06/02/2021,Italy,3,Mohamed Haouas,y,52
06/02/2021,Italy,7,Charles Ollivon,y,80
06/02/2021,Italy,5,Paul Willemse,y,58
14/02/2021,Ireland,14,Damian Penaud,y,67
14/02/2021,Ireland,11,Gabin Villiere,y,80
14/02/2021,Ireland,23,Teddy Thomas,n,13
14/02/2021,Ireland,2,Julien Marchand,y,75
14/02/2021,Ireland,9,Antoine Dupont,y,80
14/02/2021,Ireland,10,Matthieu Jalibert,y,80
14/02/2021,Ireland,12,Gael Fickou,y,80
14/02/2021,Ireland,4,Bernard Le Roux,y,80
14/02/2021,Ireland,13,Arthur Vincent,y,80
14/02/2021,Ireland,17,Hassane Kolingar,n,5
14/02/2021,Ireland,21,Baptiste Serin,n,0
14/02/2021,Ireland,15,Brice Dulin,y,80
14/02/2021,Ireland,6,Anthony Jelonch,y,67
14/02/2021,Ireland,22,Anthony Bouthier,n,0
14/02/2021,Ireland,16,Pierre Bourgarit,n,5
14/02/2021,Ireland,18,Uini Atonio,n,22
14/02/2021,Ireland,8,Gregory Alldritt,y,80
14/02/2021,Ireland,1,Cyril Baille,y,75
14/02/2021,Ireland,19,Romain Taofifenua,n,10
14/02/2021,Ireland,20,Dylan Cretin,n,13
14/02/2021,Ireland,3,Mohamed Haouas,y,58
14/02/2021,Ireland,7,Charles Ollivon,y,80
14/02/2021,Ireland,5,Paul Willemse,y,70
13/03/2021,England,11,Damian Penaud,y,80
13/03/2021,England,16,Camille Chat,n,6
13/03/2021,England,14,Teddy Thomas,y,80
